"ID","来源/标准","需求","状态","设计/代码定位","测试证据","备注"
"API-01","课程接口","八接口签名不变","IMPLEMENTED","inc/tju_tcp.h:16-55; src/tju_tcp.c:tju_socket..tju_close","t1_t6_clean_rebuild_final.log","声明签名未改"
"WIRE-01","指导书5.3; tju_packet accessor","固定20字节与显式网络序","IMPLEMENTED","src/tju_packet.c:header_in_char/get_src..get_ext; src/tju_tcp.c:tju_validate_packet","t1_t6_clean_rebuild_final.log; evidence/handshake_close_decoded.csv","sizeof(tju_header_t)不作为wire长度"
"WIRE-02","指导书5.3","总包20..1400, SMSS=1380, 先验长度检查","IMPLEMENTED","inc/global.h:MAX_DLEN/TCP_RECVWN_SIZE; src/kernel.c:receive_thread; src/tju_tcp.c:tju_validate_packet","verification/t1_wire_seq_test.c; t1_t6_asan_ubsan_final.log","覆盖19/20/21/1400/1401及截断"
"CHECK-01","用户课程澄清","本课程头不提供checksum","NOT_APPLICABLE","inc/tju_packet.h无checksum字段; ext保持0","用户明确说明","未占用ext且不虚构算法"
"SEQ-01","RFC 9293序号空间","32位回绕比较","IMPLEMENTED","src/tju_tcp.c:seq_lt/seq_le/seq_gt/seq_between","verification/t1_wire_seq_test.c","比较有效范围小于2^31"
"CONN-01","指导书5.1; RFC 9293 3.5","SYN/SYN-ACK/ACK及SYN占序号","IMPLEMENTED","src/tju_tcp.c:tju_connect/handle_listen_syn/tju_handle_packet_len","evidence/handshake_close.pcap; evidence/handshake_close_decoded.csv","三包字段逐项可复核"
"CONN-02","课程接口文档","connect/accept阻塞与队列","IMPLEMENTED","src/tju_tcp.c:tju_connect/tju_accept/enqueue_accepted_child","t1_t6_autotest_establish_final.log; t1_t6_final_close_*.log","谓词循环等待"
"CONN-03","RFC 9293 3.4.1","每连接变化ISN","IMPLEMENTED","src/tju_tcp.c:initialize_isn_secret/generate_isn","client.event.trace中最近4次SYN为4个唯一seq","secret不写trace"
"CONN-04","指导书5.1.7","三种握手报文各丢一次仍建立","IMPLEMENTED","src/tju_tcp.c:timer_main及重复SYN/SYN-ACK分支","t1_t6_drop_syn_client.log; t1_t6_drop_synack_server.log; t1_t6_drop_ack_client.log","LD_PRELOAD通用sendto序号注入，不改生产逻辑"
"CONN-05","指导书5.1.7","最大重试解除等待并释放资源","PARTIAL","src/tju_tcp.c:fail_connection_locked/timer_main/tju_connect失败清理","t1_t6_retry_limit.log: real 63.00, connect失败","次数5为集中实现值，但课程平台精确值仍UNKNOWN"
"DATA-01","指导书5.3; RFC 9293 3.8","send复制、<=1380分段、累计ACK释放","IMPLEMENTED","src/tju_tcp.c:make_tx/tju_send/acknowledge_locked","t1_t6_100mb_final_hashes.log","调用者buffer不被后台引用"
"DATA-02","指导书5.3","重复/重叠/失序合并、只交付一次","PARTIAL","src/tju_tcp.c:insert_rx_locked/ring_write_locked","50MB 5%与1MB 5%哈希PASS; 定向部分重叠NOT_RUN","算法有代码定位，缺独立定向重叠证据"
"DATA-03","课程接口文档","recv阻塞、短读、EOF","IMPLEMENTED","src/tju_tcp.c:tju_recv/consume_fin_if_ready_locked","100MB与zero-window程序双方退出0","FIN前数据先交付"
